"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 13, 2018","7,347,000","7,251,000","7,398,000","7,251,000","34.69K","1.32%"
"Sep 12, 2018","7,251,000","7,223,000","7,280,000","7,150,000","35.74K","0.07%"
"Sep 11, 2018","7,246,000","7,259,000","7,375,000","7,127,000","34.99K","-0.14%"
"Sep 10, 2018","7,256,000","7,244,000","7,369,000","7,199,000","34.69K","0.36%"
"Sep 09, 2018","7,230,000","7,202,000","7,430,000","7,125,000","36.38K","0.37%"
"Sep 08, 2018","7,203,000","7,393,000","7,479,000","7,116,000","35.18K","-2.57%"
"Sep 07, 2018","7,393,000","7,502,000","7,558,000","7,288,000","37.00K","-1.65%"
"Sep 06, 2018","7,517,000","7,677,000","7,720,000","7,288,000","38.34K","-2.08%"
"Sep 05, 2018","7,677,000","8,285,000","8,348,000","7,652,000","35.64K","-7.37%"
"Sep 04, 2018","8,288,000","8,117,000","8,288,000","8,111,000","33.76K","2.11%"
"Sep 03, 2018","8,117,000","8,131,000","8,160,000","8,032,000","33.75K","0.07%"
"Sep 02, 2018","8,111,000","8,006,000","8,180,000","7,923,000","33.04K","1.31%"
"Sep 01, 2018","8,006,000","7,891,000","8,047,000","7,859,000","33.27K","1.73%"
"Aug 31, 2018","7,870,000","7,858,000","7,930,000","7,772,000","33.73K","0.15%"
"Aug 30, 2018","7,858,000","7,826,000","7,932,000","7,676,000","32.37K","0.42%"
"Aug 29, 2018","7,825,000","7,858,000","7,940,000","7,728,000","34.69K","-0.06%"
"Aug 28, 2018","7,830,000","7,713,000","7,890,000","7,667,000","35.49K","1.69%"
"Aug 27, 2018","7,700,000","7,540,000","7,712,000","7,498,000","21.87K","2.11%"
"Aug 26, 2018","7,541,000","7,589,000","7,665,000","7,450,000","15.99K","-0.84%"
"Aug 25, 2018","7,605,000","7,578,000","7,690,000","7,511,000","17.08K","0.36%"
"Aug 24, 2018","7,578,000","7,440,000","7,600,000","7,351,000","1.71K","1.79%"
"Aug 23, 2018","7,445,000","7,278,000","7,497,000","7,277,000","1.39K","2.32%"
"Aug 22, 2018","7,276,000","7,408,000","7,790,000","7,196,000","3.23K","-1.78%"
"Aug 21, 2018","7,408,000","7,262,000","7,449,000","7,248,000","1.28K","2.01%"
"Aug 20, 2018","7,262,000","7,440,000","7,490,000","7,240,000","1.24K","-2.39%"
"Aug 19, 2018","7,440,000","7,421,000","7,516,000","7,303,000","0.81K","0.55%"
"Aug 18, 2018","7,399,000","7,501,000","7,580,000","7,296,000","1.25K","-1.36%"
"Aug 17, 2018","7,501,000","7,342,000","7,535,000","7,312,000","1.95K","2.17%"
"Aug 16, 2018","7,342,000","7,318,000","7,479,000","7,259,000","1.50K","0.26%"
"Aug 15, 2018","7,323,000","7,247,000","7,634,000","7,231,000","2.26K","1.05%"
"Aug 14, 2018","7,247,000","7,389,000","7,391,000","6,959,000","3.17K","-1.92%"
"Aug 13, 2018","7,389,000","7,386,000","7,638,000","7,280,000","2.00K","0.05%"
"Aug 12, 2018","7,385,000","7,313,000","7,552,000","7,250,000","1.03K","0.98%"
"Aug 11, 2018","7,313,000","7,220,000","7,580,000","7,111,000","1.98K","1.29%"
"Aug 10, 2018","7,220,000","7,546,000","7,619,000","7,051,000","2.58K","-4.32%"
"Aug 09, 2018","7,546,000","7,316,000","7,666,000","7,220,000","2.29K","3.14%"
"Aug 08, 2018","7,316,000","7,774,000","7,774,000","7,201,000","3.40K","-5.60%"
"Aug 07, 2018","7,750,000","7,975,000","8,210,000","7,720,000","2.71K","-2.85%"
"Aug 06, 2018","7,977,000","8,080,000","8,208,000","7,900,000","1.82K","-1.27%"
"Aug 05, 2018","8,080,000","8,058,000","8,193,000","7,931,000","1.70K","0.27%"
"Aug 04, 2018","8,058,000","8,474,000","8,582,000","7,980,000","2.32K","-4.91%"
"Aug 03, 2018","8,474,000","8,674,000","8,674,000","8,343,000","1.82K","-2.31%"
"Aug 02, 2018","8,674,000","8,685,000","8,806,000","8,560,000","1.48K","-0.13%"
"Aug 01, 2018","8,685,000","8,735,000","8,775,000","8,450,000","1.99K","-0.57%"
"Jul 31, 2018","8,735,000","9,224,000","9,225,000","7,135,000","2.67K","-5.30%"
"Jul 30, 2018","9,224,000","9,185,000","9,250,000","8,856,000","1.51K","0.42%"
"Jul 29, 2018","9,185,000","9,195,000","9,280,000","9,125,000","0.94K","-0.11%"
"Jul 28, 2018","9,195,000","9,100,000","9,208,000","9,025,000","0.94K","1.04%"
"Jul 27, 2018","9,100,000","8,935,000","9,225,000","8,780,000","2.94K","1.85%"
"Jul 26, 2018","8,935,000","9,150,000","9,279,000","8,780,000","2.57K","-2.35%"
"Jul 25, 2018","9,150,000","9,353,000","9,393,000","9,020,000","2.84K","-0.49%"
"Jul 24, 2018","9,195,000","8,751,000","9,521,000","8,702,000","6.27K","5.06%"
"Jul 23, 2018","8,752,000","8,325,000","8,849,000","8,280,000","3.12K","5.13%"
"Jul 22, 2018","8,325,000","8,381,000","8,524,000","8,261,000","1.86K","-0.70%"
"Jul 21, 2018","8,384,000","8,351,000","8,424,000","8,200,000","1.61K","0.40%"
"Jul 20, 2018","8,351,000","8,440,000","8,683,000","8,286,000","3.56K","-1.05%"
"Jul 19, 2018","8,440,000","8,300,000","8,540,000","8,152,000","2.96K","1.69%"
