"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 24, 2020","125.83","122.70","127.35","122.14","4.58M","-3.06%"
"Feb 21, 2020","129.80","131.35","131.55","128.08","3.10M","-2.01%"
"Feb 20, 2020","132.46","135.00","136.32","131.21","3.66M","-2.47%"
"Feb 19, 2020","135.81","134.24","135.88","132.80","2.12M","1.21%"
"Feb 18, 2020","134.18","134.02","134.78","132.49","2.82M","-0.29%"
"Feb 14, 2020","134.57","135.90","135.90","134.05","1.70M","-0.45%"
"Feb 13, 2020","135.18","135.02","136.30","133.23","3.15M","-1.68%"
"Feb 12, 2020","137.49","136.73","138.50","134.66","3.64M","2.61%"
"Feb 11, 2020","133.99","133.51","136.82","132.72","3.55M","2.24%"
"Feb 10, 2020","131.05","129.26","131.69","129.20","3.33M","0.11%"
"Feb 07, 2020","130.91","131.02","131.84","129.70","2.77M","-1.69%"
"Feb 06, 2020","133.16","132.25","133.74","130.34","3.21M","1.84%"
"Feb 05, 2020","130.75","134.52","134.58","129.46","3.52M","-0.47%"
"Feb 04, 2020","131.37","134.70","134.95","131.11","3.87M","0.67%"
"Feb 03, 2020","130.49","127.15","133.78","126.90","7.71M","5.61%"
"Jan 31, 2020","123.56","123.20","123.88","122.00","4.88M","-1.73%"
"Jan 30, 2020","125.74","123.30","126.11","122.32","2.95M","-0.58%"
"Jan 29, 2020","126.47","127.97","128.18","126.08","2.43M","-0.36%"
"Jan 28, 2020","126.93","128.05","128.30","125.82","2.78M","0.51%"
"Jan 27, 2020","126.28","122.00","127.39","121.00","5.43M","-2.86%"
"Jan 24, 2020","130.00","134.25","134.40","128.31","4.31M","-3.13%"
"Jan 23, 2020","134.20","132.22","134.38","131.17","4.15M","-0.45%"
"Jan 22, 2020","134.80","138.55","138.87","134.72","4.44M","-1.68%"
"Jan 21, 2020","137.10","136.49","139.00","134.40","4.09M","-1.80%"
"Jan 17, 2020","139.61","140.61","140.99","138.35","4.23M","0.09%"
"Jan 16, 2020","139.49","142.61","142.62","138.80","4.07M","0.06%"
"Jan 15, 2020","139.40","139.57","141.17","138.39","3.71M","-0.46%"
"Jan 14, 2020","140.04","140.68","142.20","138.01","4.88M","-1.56%"
"Jan 13, 2020","142.26","147.00","147.38","141.75","6.57M","-1.56%"
"Jan 10, 2020","144.51","142.62","144.76","140.86","6.74M","2.59%"
"Jan 09, 2020","140.86","141.00","142.48","140.02","6.28M","2.20%"
"Jan 08, 2020","137.83","136.74","139.17","135.70","3.82M","0.83%"
"Jan 07, 2020","136.70","138.19","139.47","135.40","4.56M","0.56%"
"Jan 06, 2020","135.94","132.78","136.74","132.51","3.93M","1.60%"
"Jan 03, 2020","133.80","134.58","137.16","133.78","5.19M","-3.20%"
"Jan 02, 2020","138.22","129.49","138.64","129.44","7.99M","9.35%"
"Dec 31, 2019","126.40","125.53","126.90","124.67","1.87M","0.09%"
"Dec 30, 2019","126.29","125.93","127.89","125.31","2.22M","-0.13%"
"Dec 27, 2019","126.45","128.00","128.00","125.93","2.17M","-0.89%"
"Dec 26, 2019","127.58","128.64","128.95","127.20","1.63M","-0.71%"
